move;name;donor;donorName;how
714;Overdrive;304;Hyper Voice;ADVISORY vfx tier - overlap score=14 sharedTemplates=1
715;Apple Acid;558;Fusion Flare;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
716;Grav Apple;327;Sky Uppercut;ADVISORY vfx tier - overlap score=14 sharedTemplates=2
717;Spirit Break;27;Rolling Kick;ADVISORY vfx tier - overlap score=8 sharedTemplates=1
718;Strange Steam;558;Fusion Flare;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
719;Life Dew;487;Soak;ADVISORY vfx tier - overlap score=1 sharedTemplates=0
720;Obstruct;182;Protect;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
721;False Surrender;185;Feint Attack;ADVISORY vfx tier - overlap score=14 sharedTemplates=0
722;Meteor Assault;545;Searing Shot;ADVISORY vfx tier - overlap score=13 sharedTemplates=0
723;Eternabeam;434;Draco Meteor;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
724;Steel Beam;430;Flash Cannon;ADVISORY vfx tier - overlap score=10 sharedTemplates=0
725;Expanding Force;223;Dynamic Punch;ADVISORY vfx tier - overlap score=7 sharedTemplates=0
726;Steel Roller;525;Dragon Tail;ADVISORY vfx tier - overlap score=6 sharedTemplates=1
727;Scale Shot;407;Dragon Rush;ADVISORY vfx tier - overlap score=9 sharedTemplates=1
728;Meteor Beam;439;Rock Wrecker;ADVISORY vfx tier - overlap score=10 sharedTemplates=0
730;Misty Explosion;558;Fusion Flare;ADVISORY vfx tier - overlap score=6 sharedTemplates=0
731;Grassy Glide;525;Dragon Tail;ADVISORY vfx tier - overlap score=13 sharedTemplates=2
732;Rising Voltage;351;Shock Wave;ADVISORY vfx tier - overlap score=13 sharedTemplates=1
