# The r32645 client's own move stats: the Gen 5 ROM move table (NARC a/0/2/1) with data.pak section 4 applied on top, rebuilt offline 2026-09-13.
# Accuracy 101 = never misses. Power 0/1 are the client's markers for status and variable-power moves.
id,type,category,power,accuracy,pp,priority
1056,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1057,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1058,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1059,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1060,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1061,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1062,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1063,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1064,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1065,FLYING,PHYSICAL,1,101,50,0
1066,FIRE,STATUS,0,101,1,0
1067,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1068,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1069,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1070,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1071,WATER,STATUS,0,101,1,0
1072,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1073,FIRE,STATUS,0,101,1,0
1074,GRASS,STATUS,0,101,1,0
1075,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1076,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1077,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,6
1078,PSYCHIC,STATUS,0,101,1,0
1079,STEEL,STATUS,0,101,1,0
1080,QUESTIONQUESTIONQUESTION,PHYSICAL,40,101,5,0
1081,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1082,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1083,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1084,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1085,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1086,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1087,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1088,FIRE,STATUS,0,101,10,4
1089,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1090,NONE,PHYSICAL,150,101,5,0
1091,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1092,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1093,QUESTIONQUESTIONQUESTION,STATUS,0,101,5,0
1094,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1095,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
1096,QUESTIONQUESTIONQUESTION,STATUS,0,101,1,0
2000,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,50,6
2001,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,50,6
2002,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,50,6
2003,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,50,6
2004,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,50,6
2005,QUESTIONQUESTIONQUESTION,PHYSICAL,1,101,40,6
2006,QUESTIONQUESTIONQUESTION,STATUS,0,101,40,6
2007,QUESTIONQUESTIONQUESTION,STATUS,0,101,40,6
2008,QUESTIONQUESTIONQUESTION,STATUS,0,101,40,6
3008,ICE,PHYSICAL,95,100,15,0
3009,ELECTRIC,PHYSICAL,95,100,15,0
3014,NORMAL,STATUS,0,101,20,0
3018,NORMAL,STATUS,0,101,20,-6
3026,FIGHTING,PHYSICAL,130,100,10,0
3034,NORMAL,PHYSICAL,105,100,15,0
3038,NORMAL,PHYSICAL,150,100,15,0
3046,NORMAL,STATUS,0,101,20,-6
3047,NORMAL,STATUS,0,55,15,0
3050,NORMAL,STATUS,0,100,20,0
3053,FIRE,SPECIAL,110,100,15,0
3056,WATER,SPECIAL,140,90,5,0
3057,WATER,SPECIAL,110,100,15,0
3058,ICE,SPECIAL,110,100,10,0
3059,ICE,SPECIAL,140,90,5,0
3063,NORMAL,SPECIAL,200,100,5,0
3065,FLYING,PHYSICAL,100,100,20,0
3073,GRASS,STATUS,0,90,10,0
3074,NORMAL,STATUS,0,101,20,0
3076,GRASS,SPECIAL,150,100,10,0
3077,POISON,STATUS,0,75,35,0
3078,GRASS,STATUS,0,75,30,0
3079,GRASS,STATUS,0,75,15,0
3082,DRAGON,SPECIAL,1,100,10,0
3085,ELECTRIC,SPECIAL,110,100,15,0
3086,ELECTRIC,STATUS,0,90,20,0
3087,ELECTRIC,SPECIAL,140,85,10,0
3089,GROUND,PHYSICAL,130,100,10,0
3094,PSYCHIC,SPECIAL,110,100,10,0
3095,PSYCHIC,STATUS,0,60,20,0
3097,PSYCHIC,STATUS,0,101,30,0
3103,NORMAL,STATUS,0,85,40,0
3109,GHOST,STATUS,0,100,10,0
3113,PSYCHIC,STATUS,0,101,30,0
3115,PSYCHIC,STATUS,0,101,20,0
3126,FIRE,SPECIAL,140,95,5,0
3127,WATER,PHYSICAL,100,100,15,0
3133,PSYCHIC,STATUS,0,101,20,0
3138,PSYCHIC,SPECIAL,150,100,15,0
3142,NORMAL,STATUS,0,75,10,0
3143,FLYING,PHYSICAL,200,100,5,0
3147,GRASS,STATUS,0,100,15,0
3151,POISON,STATUS,0,101,20,0
3152,WATER,PHYSICAL,130,100,10,0
3155,GROUND,PHYSICAL,65,100,10,0
3157,ROCK,PHYSICAL,100,100,10,0
3161,NORMAL,SPECIAL,100,100,10,0
3164,NORMAL,STATUS,0,101,10,0
3180,GHOST,STATUS,0,100,10,0
3182,NORMAL,STATUS,0,101,10,4
3183,FIGHTING,PHYSICAL,50,100,30,1
3184,NORMAL,STATUS,0,100,10,0
3186,NORMAL,STATUS,0,75,10,0
3187,NORMAL,STATUS,0,101,10,0
3188,POISON,SPECIAL,110,100,10,0
3191,GROUND,STATUS,0,101,20,0
3195,NORMAL,STATUS,0,101,5,0
3201,ROCK,STATUS,0,101,10,0
3202,GRASS,SPECIAL,95,100,10,0
3204,NORMAL,STATUS,0,100,20,0
3207,NORMAL,STATUS,0,85,15,0
3212,NORMAL,STATUS,0,101,5,0
3216,NORMAL,PHYSICAL,132,100,20,0
3221,FIRE,PHYSICAL,100,100,5,0
3224,BUG,PHYSICAL,150,100,10,0
3227,NORMAL,STATUS,0,100,5,0
3237,NORMAL,SPECIAL,90,100,15,0
3240,WATER,STATUS,0,101,5,0
3241,FIRE,STATUS,0,101,5,0
3242,DARK,PHYSICAL,100,100,15,0
3245,NORMAL,PHYSICAL,100,100,5,2
3246,ROCK,SPECIAL,90,100,5,0
3247,GHOST,SPECIAL,100,100,15,0
3248,PSYCHIC,SPECIAL,160,100,10,0
3249,FIGHTING,PHYSICAL,70,100,15,0
3250,WATER,SPECIAL,70,95,15,0
3257,FIRE,SPECIAL,130,100,10,0
3258,ICE,STATUS,0,101,10,0
3259,DARK,STATUS,0,100,15,0
3261,FIRE,STATUS,0,85,15,0
3263,NORMAL,PHYSICAL,80,100,20,0
3268,ELECTRIC,STATUS,0,101,20,0
3269,DARK,STATUS,0,100,20,0
3276,FIGHTING,PHYSICAL,150,100,5,0
3280,FIGHTING,PHYSICAL,95,100,15,0
3281,NORMAL,STATUS,0,101,10,0
3283,NORMAL,PHYSICAL,1,100,5,0
3297,FLYING,STATUS,0,100,15,0
3304,NORMAL,SPECIAL,110,100,10,0
3309,STEEL,PHYSICAL,110,100,10,0
3311,NORMAL,SPECIAL,65,100,10,0
3313,DARK,STATUS,0,100,20,0
3314,FLYING,SPECIAL,100,100,25,0
3321,NORMAL,STATUS,0,100,20,0
3322,PSYCHIC,STATUS,0,101,20,0
3324,BUG,SPECIAL,95,100,15,0
3325,GHOST,PHYSICAL,80,101,20,0
3333,ICE,PHYSICAL,30,100,30,0
3334,STEEL,STATUS,0,101,15,0
3337,DRAGON,PHYSICAL,100,100,15,0
3339,FIGHTING,STATUS,0,101,20,0
3347,PSYCHIC,STATUS,0,101,20,0
3348,GRASS,PHYSICAL,110,100,15,0
3352,WATER,SPECIAL,80,100,20,0
3353,STEEL,SPECIAL,450,101,5,0
3360,STEEL,PHYSICAL,1,100,5,0
3366,FLYING,STATUS,0,101,15,0
3370,FIGHTING,PHYSICAL,150,100,5,0
3372,DARK,PHYSICAL,70,100,10,0
3373,DARK,STATUS,0,100,15,0
3377,PSYCHIC,STATUS,0,100,15,0
3380,POISON,STATUS,0,100,10,0
3390,POISON,STATUS,0,101,20,0
3393,ELECTRIC,STATUS,0,101,10,0
3396,FIGHTING,SPECIAL,100,101,20,0
3397,ROCK,STATUS,0,101,20,0
3398,POISON,PHYSICAL,100,100,20,0
3399,DARK,SPECIAL,100,100,15,0
3400,DARK,PHYSICAL,90,100,15,0
3401,WATER,PHYSICAL,110,100,10,0
3402,GRASS,PHYSICAL,100,100,15,0
3403,FLYING,SPECIAL,95,100,15,0
3404,BUG,PHYSICAL,100,100,15,0
3405,BUG,SPECIAL,110,100,10,0
3406,DRAGON,SPECIAL,100,100,10,0
3407,DRAGON,PHYSICAL,130,90,10,0
3408,ROCK,SPECIAL,100,100,20,0
3409,FIGHTING,PHYSICAL,95,100,10,0
3411,FIGHTING,SPECIAL,150,90,5,0
3413,FLYING,PHYSICAL,150,100,15,0
3414,GROUND,SPECIAL,110,100,10,0
3416,NORMAL,PHYSICAL,200,100,5,0
3417,DARK,STATUS,0,101,20,0
3418,STEEL,PHYSICAL,50,100,30,1
3421,GHOST,PHYSICAL,95,100,15,0
3422,ELECTRIC,PHYSICAL,85,100,15,0
3423,ICE,PHYSICAL,85,100,15,0
3424,FIRE,PHYSICAL,85,100,15,0
3427,PSYCHIC,PHYSICAL,90,100,20,0
3428,PSYCHIC,PHYSICAL,100,100,15,0
3430,STEEL,SPECIAL,100,100,10,0
3433,PSYCHIC,STATUS,0,101,5,-7
3435,ELECTRIC,SPECIAL,110,100,15,0
3438,GRASS,PHYSICAL,150,95,10,0
3439,ROCK,PHYSICAL,200,100,5,0
3441,POISON,PHYSICAL,150,90,5,0
3442,STEEL,PHYSICAL,100,100,15,0
3444,ROCK,PHYSICAL,130,100,5,0
3446,ROCK,STATUS,0,101,20,0
3447,GRASS,SPECIAL,1,100,20,0
3451,ELECTRIC,SPECIAL,80,100,10,0
3454,BUG,PHYSICAL,120,100,15,0
3457,ROCK,PHYSICAL,180,90,5,0
3458,NORMAL,PHYSICAL,50,100,10,0
3463,FIRE,SPECIAL,120,100,5,0
3464,DARK,STATUS,0,100,10,0
3465,GRASS,SPECIAL,150,100,5,0
3466,GHOST,SPECIAL,80,100,5,0
3473,PSYCHIC,SPECIAL,100,100,10,0
3475,STEEL,STATUS,0,101,15,0
3479,ROCK,PHYSICAL,70,100,15,0
3482,POISON,SPECIAL,115,100,10,0
3483,BUG,STATUS,0,101,20,0
3487,WATER,STATUS,0,100,20,0
3494,NORMAL,STATUS,0,100,15,0
3503,WATER,SPECIAL,100,100,15,0
3507,FLYING,PHYSICAL,150,100,10,0
3525,DRAGON,PHYSICAL,80,100,10,-6
3526,NORMAL,STATUS,0,101,30,0
3529,GROUND,PHYSICAL,100,100,10,0
3530,DRAGON,PHYSICAL,50,100,15,0
3533,FIGHTING,PHYSICAL,110,100,15,0
3541,NORMAL,PHYSICAL,30,85,10,0
3542,FLYING,SPECIAL,140,90,10,0
3543,NORMAL,PHYSICAL,150,100,15,0
3544,STEEL,PHYSICAL,65,95,15,0
3545,FIRE,SPECIAL,130,95,5,0
3547,NORMAL,SPECIAL,120,100,10,0
3548,FIGHTING,SPECIAL,105,100,10,0
3550,ELECTRIC,PHYSICAL,130,100,10,0
3551,FIRE,SPECIAL,130,100,10,0
3552,FIRE,SPECIAL,100,100,10,0
3555,DARK,SPECIAL,80,100,15,0
3556,ICE,PHYSICAL,105,100,10,0
3557,FIRE,PHYSICAL,220,100,5,0
